Form & File,Filed,Reporting for,Filing entity/person,CIK,Located,Incorporated,File number,Film number,Link,Disclosure Type,Cybersecurity Incident
8-K (Current report) ,2026-09-08,2026-09-07,BOSTON SCIENTIFIC CORP  (BSX) ,CIK 0000885725,"Marlborough, MA",DE,001-11083,261363289,https://www.sec.gov/Archives/edgar/data/0000885725/000088572526000059/bsx-20260907.htm,item_1_05,"Material Cybersecurity Incidents. As previously disclosed in a Current Report on Form 8-K filed on August 26, 2026 with the Securities and Exchange Commission, on August 25, 2026, Boston Scientific Corporation (the “ Company ”) identified a cybersecurity incident that affected certain of its information technology systems and resulted in a global disruption to the Company’s operations. Upon detection, the Company activated its incident response protocols, and since then has been working, with the assistance of third-party cybersecurity experts, to investigate, assess and contain the impact of the incident and to restore operations. The incident involved unauthorized activity on certain of the Company’s systems that resulted in a network outage affecting access to certain operating systems and business applications, which impacted the Company’s ability to manufacture as well as process and ship customer orders. As of the date of this Current Report on Form 8-K, the Company has not identified evidence of ongoing unauthorized access to its systems. The Company’s investigation of the incident remains ongoing. The Company continues to make progress in restoring many of the affected systems, including substantial restoration of its distribution network, with major distribution centers now processing and shipping customer orders at or above normal operating levels. Additionally, the Company’s sterilization facilities are now operational and manufacturing has resumed across most facilities globally. While the timeline for a full operational recovery is uncertain, the Company continues to work diligently to fully restore all affected systems. Based on the information currently available as of the date of this Current Report on Form 8-K, the Company has determined that the incident is likely to have a material impact on the Company’s results of operations for the third quarter and full year 2026. As a result, the Company believes that it is unlikely to meet the net sales growth and adjusted EPS guidance ranges for the third quarter and full year 2026 that the Company previously provided on July 29, 2026. The Company anticipates recovering some portion of the impacted revenue as it continues to ramp operations globally, fulfill customer orders and reduce remaining backlogs, however the full impacts are not yet known. The Company intends to provide an update on its operational and financial outlook for the remainder of fiscal year 2026, incorporating the anticipated impact of the incident, during its planned conference call to discuss financial results and business highlights for the third quarter 2026 to be held on Wednesday, October 28, 2026. As of the date of this Current Report on Form 8-K, the Company does not expect the incident will have a material impact on its long-term financial condition."
8-K (Current report) ,2026-09-08,2026-09-08,Veradigm Inc. ,CIK 0001124804,"Chicago, IL",DE,000-32085,261365426,https://www.sec.gov/Archives/edgar/data/0001124804/000119312526385249/mdrx-20260908.htm,item_7_01_8_01,"Other Events. Veradigm Inc. (the “Company”) recently learned that one of its third-party vendors experienced a cybersecurity incident that impacted certain data associated with a small number of the Company’s customers. Based on the Company’s investigation to date, an unauthorized party obtained credentials from the vendor’s environment to a Company application programming interface used by the vendor to provide services on behalf of the Company’s customers. The unauthorized party used these credentials to download copies of certain personal data of patients, including, in some instances, Social Security numbers; no clinical or medical data was involved. The vendor’s compromised credentials provided access only through that limited interface and did not provide access to any other part of the Company’s environment, including the Company’s broader network, servers, databases, or other systems. The incident did not result in any operational disruptions. The Company promptly initiated its cybersecurity incident response protocols upon learning of the incident and has notified law enforcement. The Company’s investigation is ongoing. The Company is reviewing the affected data, and affected customers and individuals are being notified, with credit monitoring services being offered where applicable. The Company has not yet determined the extent of any potential liabilities associated with this matter. However, based on the information currently available, the Company does not believe that this incident is reasonably likely to have a material impact on the Company’s business, operations, financial condition, or results of operations. This Current Report on Form 8-K contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These forward-looking statements are based on the current beliefs and expectations of the Company with respect to the cybersecurity incident and its impact on the Company’s business, operations and financial results, only speak as of the date that they are made, and are subject to significant risks and uncertainties. Such statements can be identified by the use of words such as “future,” “anticipates,” “believes,” “estimates,” “expects,” “intends,” “plans,” “predicts,” “will,” “would,” “could,” “continue,” “can,” “may,” “look forward,” “aims,” “hopes,” and “seeks” and similar terms, although not all forward-looking statements contain such words or expressions. Actual results could differ significantly from those set forth in the forward-looking statements. Important factors that may cause actual results to differ materially from those in the forward-looking statements include, but are not limited to, legal, reputational, and financial risks resulting from the cybersecurity incident, including any related regulatory inquiries, litigation, or remediation costs, and other factors contained in “Part 1, Item 1A. “Risk Factors” in the Company’s Annual Report on Form 10-K for each of the fiscal years ended December 31, 2024 and December 31, 2023, and the Company’s other filings with the SEC from time to time. The Company does not undertake to update any forward-looking statements to reflect changed assumptions, the impact of circumstances or events that may arise after the date of the forward-looking statements, or other changes over time, except as required by law. SIGNATURES Pursuant to the requirements of the Securities Exchange Act of 1934, the registrant has duly caused this report to be signed on its behalf by the undersigned hereunto duly authorized. VERADIGM INC. September 8, 2026 By: /s/ Eric Jacobson Eric Jacobson Senior Vice President, Interim General Counsel & Corporate Secretary"
