Form & File,Filed,Reporting for,Filing entity/person,CIK,Located,Incorporated,File number,Film number,Link,Cybersecurity Incident
8-K (Current report) ,2026-05-11,2026-05-07,"CB Financial Services, Inc.  (CBFV) ",CIK 0001605301,"Carmichaels, PA",,001-36706,26963404,https://www.sec.gov/Archives/edgar/data/0001605301/000160530126000021/cbfv-20260507.htm,". Material Cybersecurity Incidents On May 5, 2026, Community Bank (the “Bank”), the wholly-owned subsidiary of CB Financial Services, Inc. (the “Company”), became aware of an internal incident involving the handling of certain non‑public customer information using an unauthorized artificial intelligence-based software application. Upon discovery, the Bank promptly took steps to secure the information at issue and initiated an internal investigation with the assistance of external cybersecurity advisors. The investigation into the incident, including the scope and root cause, remains ongoing. The incident did not involve a disruption to the Bank's operations, customer access to accounts or services, payment systems, or core information technology infrastructure; however, due to the volume and sensitive nature of the non-public information at issue, on May 7, 2026, the Company determined the event to be material. Among the customer information the Bank has determined was disclosed are customer names, social security numbers and dates of birth. The Company is evaluating the customer data that was affected and is conducting notifications as required by applicable federal and state laws and regulatory guidance. The Company has been, and continues to be, in communication with relevant banking and financial regulators regarding the incident. The Company has taken, and continues to take, actions designed to contain and remediate the incident. The Company remains committed to protecting its customers' data and is taking measures designed to prevent future similar incidents, including but not limited to, strengthening existing controls, implementing additional controls and enhancing monitoring measures. As of the date of this disclosure, this incident has not had, and is not expected to have, a material impact on the Company’s consolidated financial condition or results of operations. 2 SIGNATURES Pursuant to the requirements of the Securities Exchange Act of 1934, the Registrant has duly caused this report to be signed on its behalf by the undersigned hereunto duly authorized. CB FINANCIAL SERVICES, INC. Date: May 11, 2026 By: /s/ John H. Montgomery John H. Montgomery President and Chief Executive Officer 3"
8-K (Current report) ,2026-05-11,2026-05-07,WEST PHARMACEUTICAL SERVICES INC  (WST) ,CIK 0000105770,"Exton, PA",PA,001-08036,26964349,https://www.sec.gov/Archives/edgar/data/0000105770/000010577026000068/wst-20260507.htm,"Material Cybersecurity Incidents. On May 7, 2026, West Pharmaceutical Services, Inc. (the “Company”) determined that the Company has experienced a material cybersecurity attack, in which certain data was exfiltrated by an unauthorized party and certain systems were encrypted. Upon initial detection of an intrusion on May 4, 2026, the Company promptly activated its incident response protocols, including proactively taking systems offline globally for containment purposes, notifying law enforcement, and engaging external cyber-forensic experts. The Company’s investigation into the nature and scope of the incident remains ongoing, including the extent of the data affected. The Company has taken steps intended to mitigate the risk of dissemination of the exfiltrated data. The incident and the Company’s proactive response have temporarily disrupted the Company’s business operations globally. While the Company has restored its core enterprise systems, and critical processes for shipping, receiving, and manufacturing have restarted at some sites with restoration of the remaining sites in process, the timeline for a complete restoration has not yet been finalized. The incident’s material impact on the Company’s financial condition and results of operations, if any, has not been determined at the time of filing. Forward-Looking Statements This Current Report on Form 8-K contains forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995, including, but not limited to, statements regarding the Company's expectations regarding future events, actions or performance related to the cybersecurity incident, including the results of the Company’s ongoing investigation thereof and the impact of the cybersecurity incident on the Company, and its financial or operational performance. Forward-looking statements may be identified by words such as ""believe,"" ""expect,"" ""intend,"" ""estimate,"" ""plan,"" ""anticipate,"" ""project,"" ""forecast,"" ""guidance,"" ""target,"" ""may,"" ""will,"" ""continue"" and similar expressions. These statements are based on current expectations and assumptions and are subject to risks and uncertainties that could cause actual results to differ materially from those expressed or implied by such forward-looking statements. For additional information regarding these risks as well as other risks, uncertainties and factors that could affect our forward-looking statements, please refer to Part I Item 1A, entitled ""Risk Factors,"" of the Company's most recent Annual Report on Form 10-K and any amendments thereto, as well as the Company's most recently filed Quarterly Reports on Form 10-Q and other filings the Company makes with the Securities and Exchange Commission. Forward-looking statements speak only as of the date of this Current Report on Form 8-K. Except as required by law or regulation, West Pharmaceutical Services, Inc. undertakes no obligation to update or revise any forward-looking statements, whether as a result of new information, future events or otherwise."
